ID,NPC,CODIGO,ORIGINAL,TIPO DECOMPONENTE,TIPO DE COMPONENTE GENERAL,MARCA,MARCA REFACCION,PROVEEDOR,DESCRIPCION,PRECIODE LISTA
138,11562C,BEMGM030,82207711562,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,ASTRA%%% CHEVY%%% MONZA%%% CORSA 00-04 F00TE1055,560.58
139,BEMGM031C,20305,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,CAVALIER%%%MALIBU 2.2L%%%2.4L%%%3.1L 00-05 SUNFIRE%%%GRAND AM 2.2.%%%2.4L%%%3.4L 00-05,1564.6
140,BEMGM034C,20315,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,ESCALADE 5.7L 99-00; TAHOE%%%YUKON (USA)%%%SONORA 5.7L 98-00; E3972M,1290.75
141,27398C,BEMGM035,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,SILVERADO 3500 6.0L%%% 8.1L 01-03 (COD TCJ),1519.11
142,BEMGM036C,34375,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,CHEVY PICK UP 1.6L 01-03,1107.86
143,BEMGM037C,34670,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,S-10%%% SONOMA 4.3L 02-03 ,1411.84
144,BEMGM039C,37315,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,AVALANCHE SUBURBAN YUKON XL 1500 5.3L 02-03  CALIDAD OEM,1271.16
145,BEMGM040C,37319,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,BLAZER JIMMY 4.3L 97-02                     ,1277.63
146,BEMGM041C,37317,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,C2500 C3500 K2500 K3500 PICKUP5.7-7.4L 98-00,1016.92
147,BEMGM042C,37325,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,CORSA 1.8L 02-09   ,1124.43
148,BEMGM043C,37326,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,SILVERADO 1500%%% SIERRA 5.3L 04-07 ,2050.79
149,BEMGM044C,37321,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,SUBURBAN 1500 YUKON XL 1500 5.3L 02-04      FLEX FUEL,1658.24
150,BEMGM045C,37316,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,SUBURBANC1500-2500 K1500-2500 5.7-7.4L 98-99,1311.89
151,BEMGM046C,37318,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,TAHOE YUKON 4.8-5.3L 00-03 ESCALADE 02-03   ,1387.53
152,BEMGM047C,37320,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,TAHOE YUKON 5.3L 02-04          FLEX FUEL            ,1732.05
153,38331C,BEMGM048,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,CHEVY C2 1.6L MPFI 02-10,1269.44
154,38332C,BEMGM049,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,GMC ENVOY TRAILBLAZER BRAVADA 02-04 4.2-5.3L,1074.12
155,38470C,BEMGM051,MU1415,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,GM SILVERADO SIERRA 1500 2500 V8 07-08 TANQUE 34 GAL.,2000.77
156,38637C,BEMGM053,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,TORNADO%%%MERIVA 1.8L MPFI 04-08 TRES PATAS,1267
157,39113C,BEMGM054,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,SUBURBAN AVALANCHE YUKON ESCALADE 04-07,1859.69
158,39209C,BEMGM055,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,TORNADO%%%MERIVA 1.8L MPFI 04-08  ORIGINAL TRES PATAS,2373.24
159,39211C,BEMGM056,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,PONTIAC MATIZ 1.0L 03-05,933.23
160,39212C,BEMGM057,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,PONTIAC MATIZ 1.0L 05-10,846.65
161,39290C,BEMGM058,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,SILVERADO SIERRA 1500 2500 3500 V8 10-13,2996.17
162,40118C,BEMGM061,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,ACADIA%%% TRAVERSE 3.6L 07-12,2055.45
163,39901C,BEMGM063,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA, PICK UP C1500%%%2500%%%3500 K1550 5.7L 88-98,1323.47
164,40129C,BEMGM064,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,BOMBA MODULO SILVERADO%%%SIERRA 3500 6.0L 8.1L 04-07,2013.51
165,40208C,BEMGM067,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,BOMBA MODULO EXPRESS%%%SABANA 2003 TODOS LOS MOTORES,2900.35
166,40392C,BEMGM068,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,BOMBA MODULO AVEO 08-09 1.6L%%% OPTRA 06-10 2.0L,1159.59
167,40036C,BEMGM - - -,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,BOMBA ELECTRICA GMC SUBURBAN YUKON 5.3L 00-01,1401.2
168,40037C,BEMGM - - -,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,BOMBA ELECTRICA SERIES VAN 1500 04-08 2500 04-08 3500 04-08,1925.92
169,39311C,BEMHO001,,BOMBA-MODULO,BOMBA DE GASOLINA,HONDA,INJETECH,CIOSA,ODDISEY 3.5L 99-04,1914.75
170,40117C,BEMHO002,,BOMBA-MODULO,BOMBA DE GASOLINA,HONDA,INJETECH,CIOSA,BOMBA MODULO HONDA CIVIC 2.0L 06-10,1638.54
171,39715C,BEMMB001,,BOMBA-MODULO,BOMBA DE GASOLINA,MERCEDES,INJETECH,CIOSA,C230 240 320 01-02 4-6CIL,1326.39
172,06733C,BEMNS001,17040-8B000,BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,PICK UP 2.4L D21 97-06,1242.85
173,27399C,BEMNS002,17042-00QAA,BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,PLATINA 1.4L 02-06%%% RENAULT CLIO 1.2L%%% 1.4L 99-02 ,1037.84
174,BEMNS003C,37226,,BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,INFINITI ARMADA TITAN V8 5.6L 04-06  ,1885.5
175,38334C,BEMNS004,17040-8U002,BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,SENTRA 2.0L 01-06     ,1125.21
176,38395C,BEMNS005,,BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,FRONTIER PATHFINDER XTERRA V6 4CIL 05-11 ,2870.83
177,38636C,BEMNS006,,BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,ALTIMA  2.5-3.5L 02-03,1350.68
178,39262C,BEMNS007,,BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,URVAN 08-10 2.5L,1114.39
179,39313C,BEMNS008,,BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,SENTRA 2.0L Y 2.5L 07-11,1299.58
180,40039C,BEMNS010,,BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,SENTRA 1.8L 03-06 SENTRA 2.5L 02-06,1495.21
181,40204C,BEMNS011,,BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,BOMBA MODULO APRIO 1.6L 08-09 TIDA 1.8L 07-11,1417.85
182,BEMPG001C,37322,,BOMBA-MODULO,BOMBA DE GASOLINA,PEUGEOT,INJETECH,CIOSA,PEUGEOT 206                                     TAPA GRANDE,1006.75
183,38333C,BEMSA001,,BOMBA-MODULO,BOMBA DE GASOLINA,SATURN,INJETECH,CIOSA,SATURN 91-96 L4 1.9L     ,1245.73
184,39878C,BEMTO001,,BOMBA-MODULO,BOMBA DE GASOLINA,TOYOTA,INJETECH,CIOSA,COROLLA%%% MATRIX 1.8L 05-08,1396.16
185,39877C,BEMTO002,,BOMBA-MODULO,BOMBA DE GASOLINA,TOYOTA,INJETECH,CIOSA,TACOMA 4.0L 05-11,1744.43
186,40116C,BEMTO003,,BOMBA-MODULO,BOMBA DE GASOLINA,TOYOTA,INJETECH,CIOSA,BOMBA MODULO TOYOTA SIENNA 07-10,1297.76
187,06738C,BEMVW001,2715VWBEC181,BOMBA-MODULO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,JETTA%%% GOLF A3 1.8L%%% 2.0L 93-99,818.64
188,06740C,BEMVW002,2715VWBEC433,BOMBA-MODULO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,JETTA%%% GOLF A3 1.8L%%% 2.0L 93-99 SOLO BOTE,610.15
189,07866C,BEMVW003,82207707866,BOMBA-MODULO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,JETTA%%% GOLF A4 1.8L%%% 2.0L 99-08,933.91
190,07867C,BEMVW004,82207707867,BOMBA-MODULO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,DERBY 1.6L Y 1.8L  00-08 SEAT CORDOBA%%% IBIZA 01-04,941.37
191,07868C,BEMVW005,82207707868,BOMBA-MODULO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,GOLF%%% JETTA 1.8L MONOMOTRONIC INYECCION CENTRAL 93-97 SIN FLOTADOR,530.24
192,07391C,BEMVW008,82207707391,BOMBA-MODULO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,POINTER VARIOS 1.8L Y 2.0L 98-04,1089.16
193,09929C,BEMVW009,82207709929,BOMBA-MODULO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,GOLF%%% JETTA 1.8L MONOMOTRONIC INYECCION CENTRAL 93-97,789.03
194,38638C,BEMVW012,,BOMBA-MODULO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,BORA 2.0L 06-09JETTA GTI EOS  AUDI A3%%% TT 1.8L 06-09,1341.2
195,39001C,BEMVW013,,BOMBA-MODULO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,VW BORA 5CIL 2.5L MPFI 06-10,1286.67
196,39314C,BEMVW014,,BOMBA-MODULO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,LUPO CROSSFOX1.6L 04-ADELANTE,1826.4
197,39412C,BEMGM059,,BOMBA-MODULO,BOMBA DE GASOLINA,HYUNDAI,INJETECH,CIOSA,BOMBA ELECT COMBUST CHEVROLET SILVERADO 1500 2500 3500 09-10,2418.31
198,40115C,,,BOMBA-MODULO,BOMBA DE GASOLINA,DODGE,INJETECH,CIOSA,BOMBA MODULO CALIBER 07-11 JEEP PATRIOT%%% COMPASS 07-12                                              ,1690.99
199,40205C,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA MODULO SILVERADO%%%SIERRA 1500 07-08 TODOS LOS MOTORES                                          ,2758.23
200,40585C,BEMRN001,,BOMBA-MODULO,BOMBA DE GASOLINA,RENAULT,INJETECH,CIOSA,BOMBA MODULO RENAULT KANGOO 1.6L 04-14 2.0 08 L4 DOHC       ,1814.48
201,40641C,,,BOMBA-MODULO,BOMBA DE GASOLINA,HONDA,INJETECH,CIOSA,BOMBA MODULO HONDA ACCORD 2.4L 03-07,2103.07
202,40642C,,,BOMBA-MODULO,BOMBA DE GASOLINA,HONDA,INJETECH,CIOSA,BOMBA MODULO HONDA CRV 2.4L 05-06,2423.35
203,40643C,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA MODULOFORD RANGER 2.3L%%% 2.9L%%% 3.0L 90-97                                                      ,1387.59
204,40644C,BEMGM071,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA MODULO GM Astro%%% Safari 4.3L 00-05,1412.82
205,40645C,BEMFD047,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA MODULO Ford Expedition%%% Navigator 5.4L 05-06,1506.69
206,40646C,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA MODULO PICK UP C1500-3500 K1500-K3500 4.3L%%% 5.0L%%% 5.7L,1261.45
207,40647C,BEMFD048,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA MODULO Ford F250%%% F350%%% F450 SuperDuty 5.4L%%% 6.8L 08-10,1633.77
208,40648C,BEMGM073,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA MODULO GM Colorado 3.5L 04-05,1538.95
209,40649C,BEMGM074,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA MODULO GM Venture Corta 3.4L 01-04,1398.26
210,40651C,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA MODULO FORD ESCAPE 2.3%%% 3.0L 05-07,1966.89
211,40652C,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA MODULO FORD PICKUP F250%%% F350 SUPERDUTY 5.4L%%% 6.8L 99-                                        ,1528.34
212,40653C,,,BOMBA-MODULO,BOMBA DE GASOLINA,SEAT,INJETECH,CIOSA,BOMBA MODULO SEAT IBIZA 1.6L%%% 1.8L TURBO%%% 2.0L 02-09                                                ,940.13
213,40654C,,,BOMBA-MODULO,BOMBA DE GASOLINA,TOYOTA,INJETECH,CIOSA,BOMBA MODULO TOYOTA HIACE 2.7L 06-11                                                                ,1350.32
214,40655C,,,BOMBA-MODULO,BOMBA DE GASOLINA,HONDA,INJETECH,CIOSA,BOMBA MODULO HONDA CIVIC 1.3L 03-05%%% 1.7L 04-05,1857.63
215,40656C,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA MODULO GM EXPRESS. SAVANA 4.3L 2004                                                           ,1868.96
216,40657C,,,BOMBA-MODULO,BOMBA DE GASOLINA,HONDA,INJETECH,CIOSA,BOMBA MODULO HONDA ODDYSEY 3.5L 01-05                                                               ,2622.36
217,40658C,BEMGM076,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLTET,INJETECH,CIOSA,BOMBA MODULO CHEVROLET CRUZE 11-12                                                                  ,2269.31
218,40721C,BEMFD051,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA MODULO FOCUS 2.0L 12-14,2204.48
219,40722C,BEMGM077,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA MODULO EXPRESS%%% SAVANA 4.3L%%% 4.8L%%% 6.0L 10-14,3008.4
220,40755C,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA/FILTRO GM CRUZE 10-14%%% CAPTIVA 2.4L%%% 3.6L 08-14%%% MALIB                                        ,971.2
221,40756C,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA GM AVALANCHE%%% SUBURBAN 5.3L 05-07,2182.81
222,40757C,,,BOMBA-MODULO,BOMBA DE GASOLINA,DODGE,INJETECH,CIOSA,BOMBA DODGE DAKOTA 3.7L 10-11%%% 4.7L 07-11,4006.34
223,40758C,,,BOMBA-MODULO,BOMBA DE GASOLINA,DODGE,INJETECH,CIOSA,BOMBA DODGE JOURNEY 2.4L%%% 3.5L 09-10 FWD,3389.36
224,40759C,,,BOMBA-MODULO,BOMBA DE GASOLINA,DODGE,INJETECH,CIOSA,BOMBA DODGE RAM 4000 5.7L 13-14                                                                     ,3234.64
225,41041C,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA FORD RANGER%%% MAZDA B 2.3L%%% 3.0L%%% 4.0L 04-06           ,2548.54
226,41042C,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA FORD SERIES F SD 05-07                                ,2399.61
227,41045C,,,BOMBA-MODULO,BOMBA DE GASOLINA,PEUGEOT,INJETECH,CIOSA,BOMBA PEUGEOT 206%%% 206CC%%% PARTNER 1.6L 00-08                ,1030.35
228,41046C,,,BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,BOMBA QUEST%%% MAXIMA%%% ALTIMA 04-09                           ,2005.88
229,41049C,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA GM AVALANCHE%%% SUBURBAN%%% YUKON ESCALADE 5.3L           ,2192.25
230,41050C,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBAS DE GASOLINA,2192.25
231,41305C,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA FORD E150%%% E250%%% E350 ECONOLINE 4.9L%%% 5.8L 9          ,1677.92
232,41306C,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA FORD EXPEDITION 4.6L 03-04                            ,1726.39
233,41307C,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA FORD EXPLORER 4.0L 06-09                              ,1548.08
234,41309C,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA GM COLORADO 3.7L 07-08                                ,2301.86
235,41310C,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA GM S10 Y SONOMA 2.2L 00-02                            ,1534.55
236,41311C,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA GM TAHOE%%% YUKON%%% ESCALADE 4.8L%%% 5.3L 6.0L 04          ,1965.14
237,41312C,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA VENTURE LARGA 02-05                                   ,1488.28
238,41697C,E7217M,,BOMBA-MODULO,BOMBA DE GASOLINA,CHYRSLER,INJETECH,CIOSA,BOMBA MOD CHRYSLER 200 SEBRING AVENGER,2857.65
239,41698C,E4042M,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA MOD GM SILVERADO HD 6.0L 11-14,4219.32
240,41699C,E3840M,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA MOD GM EQUINOX 2.4L 10-14,2754.19
241,41700C,E100093M,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA MOD GM TRAX 1.8L 13-14,2063.96
242,41701C,E4002M,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA MOD GM TERRAIN EQUINOX V6 11-14,2648.26
243,41702C,E9183M,,BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,BOMBA MOD NISSAN ALTIMA 2.5L 3.5L 13-14,2742.9
244,41703C,SP7085M,,BOMBA-MODULO,BOMBA DE GASOLINA,FIAT,INJETECH,CIOSA,BOMBA MOD FIAT 500 1.4L TURBO 12-14,2719.35
245,41704C,E2605M,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA MOD FORD EXPLORER 3.5L 13-15,2361.44
246,41705C,E2589M,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA MOD FORD MUSTANG 3.7L 5.0L 11-14,2691.67
247,41706C,E2621M,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA MOD FORD FUSIÓN 2.5L 13-15,2732.8
248,41707C,M100102,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA MOD GM SILVERADO 1500 14-15,3840.06
249,41708C,68159286AA,,BOMBA-MODULO,BOMBA DE GASOLINA,DODGE,INJETECH,CIOSA,BOMBA MOD RAM 2500 3500 PICKUP 5.7L 6.4L,3942.39
250,41709C,E4071M,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA MOD GM SONIC 1.8L 13-14,2155.49
251,41710C,E4074M,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA MOD GM MALIBU 13-15,2708.29
252,41711C,E4036M,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA MOD GM CAPTIVA SP 2.4L 12-15 3.0L,3205.24
253,41712C,EM10091M,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA MOD GM TRAX 1.4L TURBO 2013,2909.15
254,41713C,E4038M,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA MOD GM TRAX 1.8L 13-14,2865.99
255,41726C,E7270M,,BOMBA-MODULO,BOMBA DE GASOLINA,DODGE,INJETECH,CIOSA,BOMBA MOD RAM 1500 3.7L 11-12 5.7L 11-14,3648.46
256,41727C,E7270MPK,,BOMBA-MODULO,BOMBA DE GASOLINA,DODGE,INJETECH,CIOSA,BOMBA REP. DODGE RAM 3.7L%%% 5.7L 11-14,1384.29
257,41767C,PROD26982,,BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,BOMBA MODULO NISSAN XTRAIL 2.5L 02-06,1802.85
258,41768C,PROD27197,,BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,BOMBA MODULO NISSAN URVAN NV350 2.5L 12-15,2119.94
259,42055C,E9049M,,BOMBA-MODULO,BOMBA DE GASOLINA,MAZDA,INJETECH,CIOSA,BOMBA MODULO MAZDA 3  2.0L%%% 2.5L  10-13,1944.96
260,42056C,77020-26031,,BOMBA-MODULO,BOMBA DE GASOLINA,TOYOTA,INJETECH,CIOSA,BOMBA MODULO TOYOTA HIACE 2.7L  09-12,1722.25
261,42304C,,,BOMBA-MODULO,BOMBA DE GASOLINA,DODGE,INJETECH,CIOSA,BOMBA DODGE ATTITUDE 1.4L 06-11,2248.64
262,08548C,BECCH001,82207708548,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,SHADOW%%% SPIRIT%%% LEBARON L4%%% V6 91-95; P41K,267.88
263,08246C,BECCH002,82207708246,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,PICKUP%%% DAKOTA%%% DURANGO%%% VOYAGER 95-01; P44K,429.01
264,10355C,BECCH003,82207710355,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,PICKUP B150-350 C/M CARTER 92-97,564.95
265,10356C,BECCH004,82207710356,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,CHEROKEE [GRAND]%%% WRANGLER%%% CIRRUS97-00; KEM 221E,340.12
266,12660C,BECCH005,82207712660,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,NEON%%% STRATUS%%% VOYAGER 95-04; OEM,1044.34
267,05039C,BECCH006,2715CHBEC604,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,SHADOW%%% PHANTOM%%% CARAVAN%%% VOYAGER 85-90,413.57
268,10357C,BECCH007,82207710357,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,ATOS BY DODGE 1.0L 00-05,257.58
269,10358C,BECCH008,82207710358,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,CONCORDE%%% INTREPID V6 93-00; P43K,337.92
270,05036C,BECCH009,2715CHBEC168,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,SHADOW%%% SPIRIT%%% DAYTONA%%% CARAVAN 86-90,436.96
271,05035C,BECCH011,2715CHBEC167,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,DODGE PICKUP%%% B SERIE L4%%%V6%%%V8 88-90,379.62
272,07390C,BECCH012,82207707390,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,JEEP WRANGLER%%%CHEROKEE 4.0L 90-95,524.35
273,12894C,BECCH013,82207712894,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,D100-350%%% W100-350%%% RAMCHARGER 91-93; DAKOTA 94-95,548.34
274,05040C,BECCH014,2715CHBEC605,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,CHEROKEE%%% COMANCHE%%% WRAN 2.5L%%% 4.0L 87-93,643.56
275,13931C,BECCH017,82207713931,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,PT CRUISER 2.4L TURBO 04-07; TCA777,1794.45
276,13932C,BECCH018,82207713932,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,PT CRUISER 2.4L 04-07%%% LIBERTY 3.7L 05-07; TCA776,585.85
277,13933C,BECCH019,82207713933,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,GRAND CHEROKEE%%% COMMANDER%%% 3.7L%%% 4.7L%%% 5.7L 05-07%%% DAKOTA 3.7L 05-07,2128.75
278,BECCH020C,37224,,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,NEON STRATUS VOYAGER 90-04 TIPOWALBRO GCA768-2,447.35
279,38335C,BECCH021,,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,CARAVAN TOWN&COUNTRY 05-07 3.3-3.8L,585.85
280,39003C,BECCH022,,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,PT CRUISER2.4L 04-07 LIBERTY 3.7L 05-07,394.23
281,39720C,BECCH023,,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,RAM R1500 04-08 R2500 06-09 [Repuesto p/14440],558.79
282,10359C,BECFD001,82207710359,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BRONCO%%% F150-450%%% E150-350 89-96 REPUESTO PARA BOTE 05048,355.1
283,05047C,BECFD002,2715FDBEC166,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,ESCORT 87-90%%% AEROSTAR 86-89%%% RANGER%%% 89-97 MAZDA SERIES B 94-97,320.33
