ID,NPC,CODIGO,ORIGINAL,TIPO DECOMPONENTE,TIPO DE COMPONENTE GENERAL,MARCA,MARCA REFACCION,PROVEEDOR,DESCRIPCION,PRECIODE LISTA
29,07148C,BEMCH030,82207707148,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,B100-3500VAN%%% RAM1500-3500%%% VAN V6%%%V8 90-95,1662.08
30,07145C,BEMCH031,82207707145,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,DAKOTA  3.9L%%%5.2L (C/M CARTER) 94-95,1741.9
31,07140C,BEMCH032,82207707140,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,DAKOTA 2.5L%%% 3.9L%%% 5.2L (22 GAL) 1996,1688
32,07146C,BEMCH033,82207707146,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,B100%%% 150 %%%200%%% 250%%% 300%%% 350 VAN V6%%%V8 91-93,1191.75
33,05037C,BEMCH034,2715CHBEC419,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,MAGNUM%%% PHANTOM%%% SHADOW%%% LEBARON 84-90,1041.28
34,07139C,BEMCH035,82207707139,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,DAKOTA 2.5L%%% 3.9L%%% 5.2L 1996 (15GAL),1747.38
35,13920C,BEMCH036,82207713920,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,GRAND CHEROKEE 4.0L%%%5.2L 1995,1510.76
36,07135C,BEMCH037,82207707135,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,INTREPID%%% CONCORDE%%% NEW YORKER V6 93-95,1373.74
37,07142C,BEMCH038,82207707142,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,INTREPID%%% CONCORDE 3.3L%%% 3.5L 96-97,1204.66
38,07392C,BEMCH039,82207707392,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,CHEROKEE 2.5L%%% 4.0L 97-01 ,1613.15
39,13919C,BEMCH040,82207713919,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,GRAND CHEROKEE 4.0L %%% 5.2L 92-94,1237.62
40,13921C,BEMCH041,82207713921,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,STRATUS%%% SEBRING 2.4L%%% 2.7L 01-02,1910.99
41,13922C,BEMCH042,82207713922,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,PT CRUISER 2.4L 01-04; PT CRUISER 2.4 TURBO 03-04,1398.26
42,13924C,BEMCH044,82207713924,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,R1500 3.7L Y 4.7L 02-03 (26 GAL),1862.32
43,13925C,BEMCH045,82207713925,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,VOYAGER [GRAND]%%% CARAVAN%%% TOWN & COUNTRY 2.4L%%% 3.0L%%% 3.3L%%% 3.8L 01-03,1401.41
44,13926C,BEMCH046,82207713926,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,NEON 2.0L%%% 2.4L 01-05,1615.41
45,13927C,BEMCH047,82207713927,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,STRATUS 2.4L 03-06%%% CIRRUS 2.4L Y 2.7L 03-06,2164.47
46,13928C,BEMCH048,82207713928,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,DAKOTA 2.5L 91-96 V6%%%V8 91-93 (C/M CARTER),1360.34
47,13929C,BEMCH049,82207713929,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,NEON 2.4L TURBO 03-05 SRT-4,1559.6
48,13934C,BEMCH051,82207713934,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,PT CRUISER 2.4L TURBO 03-04,1262.95
49,13935C,BEMCH052,82207713935,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,CARAVAN%%% GRAND CARAVAN 3.3L 04-07 FLEX FUEL,2372.73
50,14440C,BEMCH053,82207714440,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,SERIE RAM 3.7L%%% 4.7L 04-07 R1500 5.7L 04-08 R2500 5.7L 06-09 R3500 5.7L 08-09,1527.74
51,BEMCH054C,34372,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,GRAND CHEROKEE 4.0L 4.7L 99-04,1264.79
52,37373C,BEMCH057,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,RAM 1500 2500 3.7L & 5.7L 26 GAL 04-06    ,2550.99
53,38377C,BEMCH059,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,PT CRUISER 4CIL 2.4L 04-09 ,1514.46
54,38378C,BEMCH060,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,PT CRUISER 4CIL 2.4L 04-09 ,1652.5
55,38379C,BEMCH061,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,GRAND CARAVAN V6 3.3L 06-07   ,1945.74
56,38383C,BEMCH065,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,GRAND CHEROKEE COMMANDER 05-10 ,1976.7
57,38384C,BEMCH066,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,LIBERTY 4CIL 2005 V6 3.7L 05-07,2098.97
58,38385C,BEMCH067,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,WRANGLER 4-6CIL 2.4L 4.0L 05-06,1950.67
59,39002C,BEMCH069,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,CARAVAN 2.4L%%% 3.3L Y 3.8L 04-07,1553.12
60,39203C,BEMCH070,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,DAKOTA 3.7L Y 4.7L 05-08,2035.01
61,39127C,BEMCH071,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,DURANGO 3.7L%%% 4.7L 5.7L 04-09 ASPEN 2007,2716.64
62,39310C,BEMCH073,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,NITRO LIBERTY 3.7L 07-11,2123.46
63,39340C,BEMCH074,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,DURANGO 08-09%%% CHRYSLER ASPEN 08-09,1958.09
64,38960C,BEMCH076,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,RAM 1500 09-11,1905.79
65,39728C,BEMCH077,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA, RAM 1500 4.7L FLEX FUEL,2593.97
66,39731C,BEMCH078,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,JEEP LIBERTY 2002-2003 V6 3.7L%%% L4 2.4L,1619.13
67,39302C,BEMCH079,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,RAM 1500 V6 3.7L VIN K 09-11,4393.71
68,39879C,BEMCH080,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,AVENGER 2.4L 08-13%%%  V6 2.7L 08-09%%% V6 3.5L 08-10 SEBRING 2.4L%%% 2.7L%%% 3.5L 07-10,1825.61
69,40067C,BEMCH081,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,BOMBA ELECTRICA (MODULO) CHARGER V6%%% V8 06-10 CHALLENGER 09-,2200.13
70,40209C,BEMCH082,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,BOMBA MODULO TOWN & COUNTRY GRAND CARVAN 3.8L 4.0L 08-10 V,3670.45
71,39312C,BEMHY001,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,ATOS 1.1 04-10,721.11
72,05048C,BEMFD001,2715FDBEC182,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BRONCO%%% F150-450%%% E150-350 89-96 P74107,635.77
73,13458C,BEMFD002,82207713458,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,SERIES F 6 Y 8 CIL 90-96 TANQUE TRASERO DE ACERO,590.85
74,05044C,BEMFD003,2715FDBEC163,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,TOPAZ%%% TEMPO%%% GHIA L4 V6 88-94;  P74626H,1094.64
75,07776C,BEMFD005,82207707776,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,FOCUS (DOHC) 2.0L 00-06 TAPA SUELTA E10547M,1030.88
76,12376C,BEMFD006,82207712376,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,FOCUS 00-04; 1MSU-9H307 TAPA FIJA1MSU-9H307-CA,938.84
77,11439C,BEMFD007,82207711439,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,ESCAPE%%% MAZDA TRIBUTE 2.0L Y 3.0L 01-04,1286.67
78,10265C,BEMFD008,82207710265,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,COUGAR%%% THUNDERBIRD 3.8L%%% 4.6L Y 5.0L 89-97,1127.65
