ID,NPC,CODIGO,ORIGINAL,AIRTEX,CARTER,KEM,WALBRO,PFP,DELPHI,STD,WELLS,TOMCO,TRANSPO,WAI,BOSCH,UNIPOINT,VALEO,INTERFIL,NUMERO,PRESENTACION,TIPO,SUB TIPO,EMBALAJE,OE / OTRO,TIPO DECOMPONENTE,TIPO DE COMPONENTE GENERAL,MARCA,MARCA REFACCION,PROVEEDOR,DESCRIPCION,PRECIODE LISTA
83,BEMFD015C,37205,,E2434M,P76335M,,TU269,,FG0583,,,,,,,,,,,,,,, | F00E193513 | P2585S,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,F150 V6 4.2L V8 4.6L 5.4L 04-08 LINCOLN MARK LT V8 5.4L 06-08,1337.12
84,BEMFD016C,37312,,,,,,,,,,,,,,,,,,,,,,X3GU9H307CD |  | 156V9H307AC,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,FIESTA IV IKON 1.3L 95-02  ,978.79
85,37648C,BEMFD017,,E2059MN,P74107,8505-E,TU200,P46B,FG0198,,,,,,,,,,,,,,, | 67000 | P358M,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BRONCO EXPLORER ECONOLINE F150-250-350 90-96,1677.97
86,37649C,BEMFD018,,E2064MN,P74108,8504-E,TU201,P45B,FG0199,,,,,,,,,,,,,,, | 67003 | P155M,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,F150-250-350 L6 V8 90-96   ,1705.48
87,37998C,BEMFD019,,E2237S,P74853S,"8218-E, 8241-E",,,HP10089,,,,,,,,,,,,,,,EP2052H |  | ,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,F150 F250 99-04 V6 V8 4.2-4.6-5.4L     ,1656.41
88,37999C,BEMFD020,,E10546M,,8223-E,,,,,,,,,,,,,,,,,,"1S719H307AB, 1S7U9H307AD, 1S719H307AA |  | 1117944, ZH20CJBB, VE523025",BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,MONDEO 1.8-2.0L 16V00-05,1416.36
89,38000C,BEMFD021,,E10545M,,8222-E,,,,,,,,,,,,,,,,,,"1S719H307BA, 1S7U9H307BC |  | 1117945",BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,MONDEO 2.5L V6 24V 00-05,1383.55
90,38340C,BEMFD022,,,,,,,,,,,,,,,,,,,,,,2L349H307EA |  | ,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,F150 V6 4.2L 03-09 NACIONALES CALIDAD OE,1495.68
91,38386C,BEMFD024,,E2453M,P76128M,8229-E,TU259,,FG0842,,,,,,,,,,,,,,, | 69168 | ,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,ESCAPE MERCURY MARINER 05-07   ,4397.93
92,38387C,BEMFD025,,E2246M,P74955M,8238-E,TU231,,FG0836,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,ESCORT 4CIL 2.0L 99-03         ,1319.23
93,38389C,BEMFD027,,E2441M,P76344M,,TU272,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,F150 MARK LT 4.2-4.6-5.4L 05-08,4300.73
94,38390C,BEMFD028,,E2281M,P75037M,8250-E,TU256,,FG0952,,,,,,,,,,,,,,,3C3Z9H307LA |  | ,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,F250 F350 F450 F550V8 V10 00-04,1538.95
95,38391C,BEMFD029,,E2383M,P76041M,8243-E,TU242,,FG0829,,,,,,,,,,,,,,, | 69152 | ,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,FREESTAR 04-05 V6 3.9L 4.2L    ,1639.47
96,38392C,BEMFD030,,E2199M,P74749M,8228-E,TU212,,FG0840,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,WINDSTAR V6 3.0L 3.8L 97-98    ,1441.12
97,38393C,BEMFD031,,E2248M,P74952M,8232-E,TU234,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,WINDSTAR V6 3.0L 3.8L 99-00    ,1686.89
98,38394C,BEMFD032,,E2290M,P74961M,8233-E,TU238,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,WINDSTAR V6 3.8L 01-03         ,1593.74
99,39114C,BEMFD033,,E2554M,P76592M,,,,,,,,,,,,,,,,,,,AL8Z9H307B |  | PFS533,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,ESCAPE 4 CILINDROS 2.3L 2009-2012,2207.26
100,39115C,BEMFD034,,E2568M,P76591M,,,,,,,,,,,,,,,,,,,AL8Z9H307A |  | PFS532,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,ESCAPE 6 CILINDROS 3.0L 2009-2012,2505.7
101,39261C,BEMFD035,,E2266S,P74805S,8245-E,,,HP10128,,,,,,,,,,,,,,, | 67155 | PFS58,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,EXPLORER MONTAINEER 97-98 4.0L V6 5.0L V8,1525.88
102,40038C,BEMFD036,,E2325M,P76120M,8212-E,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,FOCUS 2.0L 2002 UNA MANGUERA,1409.95
103,39903C,BEMFD037,,E8591M,P76308M,,,,,,,,,,,,,,,,,,, | 67269 | ,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,"FOCUS, FOCUS C-MAX 03-10 MAZDA 3",1775.99
104,40128C,BEMFD038,,E2357M,P76122M,,,,FG0881,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,"BOMBA MODULO RANGER 04-06 V4 2.3L V6 3L, 4L.",1525.99
105,40210C,BEMFD041,,E2296S,P74879S,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,"BOMBA MODULO EXPLORER, MOUNTAINNER 4.0L 5.0L 99-01",1631.31
106,40211C,BEMFD0 - -,,E2525M,P76462M,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA MODULO FOCUS 2.0L 09-11,2225.47
107,40389C,BEMFD043,,E2582M,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,"BOMBA MODULO FORD F-250 SUPER DUTY 11-13 V8-6.2L, F-350 SUPER DUTY 11-14 V8-6.2L",3137.26
108,40390C,BEMFD044,,E2541M,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,"BOMBA MODULO FORD F-150 11-13 V6-3.7L, 09-10 V8-4.6L, 11-13 V8-5.0L, 09-10 V8-5.4L",3026.3
109,40391C,BEMFD045,,E2545M,P76468M ,,,,,,,,,,,,,,,,,,,PFS490 | 9L3Z9H307F,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,"BOMBA MODULO FORD F-150 11-13 V6-3.7L, 09-10 V8-4.6L, 11-13 V8-5.0L, 09-10 V8-5.4L, 11-13 V8-6.2L",3026.3
110,40035C,BEMFD0 - -,,E2360M,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA ELECTRICA FORD EXPEDITION 5.4L 03-04,1439.67
111,10494C,BEMGM001,82207710494,E3500M,"P74835M, P76223M",6109-E,TU432,,"FG0053, FG0407",,,,,,,,,,,,,,," | 67305, 67450 | MU86",BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"SILVERADO 1500, 2500, 3500, SS V6, V8 99-03,MU86",1165.23
112,13468C,BEMGM002,82207713468,E3501M,P75014M,6209-E,TU434,,FG0271,,,,,,,,,,,,,,," | 67429, 67443 | ",BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"SILVERADO 4.3L 99-03, SILVERADO HD MOTORES VARIOS 99-03 SIN EVAP",1151.51
113,12962C,BEMGM003,82207712962,E3992M,P74834M,6211-E,TU429,,"FG0052, FG0287",,,,,,,,,,,,,,," |  | MU85, MU1733",BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"S10 BLAZER 98-05  S15 JIMMY, BRAVADA 4.3L 99-01 (4 PUERTAS)",1367.2
114,13459C,BEMGM004,82207713459,E3953M,P74789M,6212-E,TU401,,FG0071,,,,,,,,,,,,,,, | 67358 | MU112,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"S10 BLAZER, S15 JIMMY, BRAVADA 4.3L 97-98 (4 PUERTAS)",1311.89
115,13461C,BEMGM005,82207713461,E3925M,P74716S,6202-E,TU404,,FG0030,,,,,,,,,,,,,,, | 67334 | MU13,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"BLAZER, JIMMY, BRAVADA, 4.3L 1996",1341.14
116,08608C,BEMGM006,82207708608,,,,,,,,,,,,,,,,,,,,,"0228216001 | 0580314015, 0580314154 | ",BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"CHEVY POP, SWING, MONZA 1.6L 98-03",889.81
117,13469C,BEMGM007,82207713469,E3940M,P74752M,EFP1607,TU438,,FG0068,,,,,,,,,,,,,,, | 67072 | MU109,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"ASTRO VAN, SAFARI VAN 4.3L 97-99",1401.3
118,13466C,BEMGM008,82207713466,E3947M,P74757M,6624-E,TU426,,FG0086,,,,,,,,,,,,,,, | 67381 | MU146,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,SILVERADO MOTORES VARIOS 6 Y 8 CIL. 97-00,1408.9
119,13460C,BEMGM009,82207713460,E3952M,E74760M,6206-E,TU402,,FG0070,,,,,,,,,,,,,,, | 67357 | MU111,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"S10, SONOMA 4.3L, ISUZU HOMBRE 4.3L 97-02",1387.53
120,13472C,BEMGM010,82207713472,E3932M,P74820M,,,,FG0084,,,,,,,,,,,,,,, | 67340 | MU138,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"TAHOE, YUKON 5.7L 96-97",1095.11
121,13465C,BEMGM011,82207713465,E3971M,P74779M,6221-E,TU420,,FG0099,,,,,,,,,,,,,,, | 67448 | MU159,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,VAN SERIES G 6  CIL 98-01 Y 8 CIL 98-02 CON EVAP,1347.66
122,08239C,BEMGM012,82207708239,,,,,,,,,,,,,,,,,,,,,"93320199, 93277518 | F000TE1184 | ",BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,CHEVY PICKUP 1.6L 00-04; 93320199 (COMPLETA),891.33
123,05058C,BEMGM013,2715GMBEC609,E3914M,P74688M,6207-E,TU459,,FG0049,,,,,,,,,,,,,,, | 67324 | MU55,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"CAVALIER, SUNFIRE 2.2L, 2.3L 1995",1582.77
124,13462C,BEMGM014,82207713462,E3943M,P74755M,6204-E,TU406,,FG0069,,,,,,,,,,,,,,, | 67349 | MU110,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"S10, SONOMA 2.2L, ISUZU HOMBRE 2.2L 97-00",1387.53
125,13473C,BEMGM015,82207713473,E3950M,P74781M,6208-E,,,FG0115,,,,,,,,,,,,,,, | 67472 | MU181,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"CAVALIER,SUNFIRE 2.2L, 2.4L 99-00 MALIBU 2.4L, 3.1L 98-99 GRAND AM 1999",1695.4
126,13471C,BEMGM016,82207713471,E3919M,P74712S,6201-E,,,FG0170,,,,,,,,,,,,,,, | 67328 | MU126,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"CAVALIER, SUNFIRE, GRAND AM 2.2L, 2.4L 96-98",1708.31
127,13470C,BEMGM017,82207713470,E3372M,"P74794M, P74987M",6215-E,,,FG0148,,,,,,,,,,,,,,, | 67303 | ,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"VENTURE,SILHOUETTE 3.4L 98-01 TRANSPORT 3.4L 99-01 MONTANA 1998",1362.37
128,13464C,BEMGM018,82207713464,E3966M,P74778M,,TU418,,FG0098,,,,,,,,,,,,,,, | 67364 | MU158,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,VAN SERIES G 6 Y 8 CIL 97-02 SIN EVAP; E3966M,1061.36
129,13467C,BEMGM020,82207713467,E3542M,P74928M,6217-E,TU428,,"FG0111, FG0342",,,,,,,,,,,,,,, | 67390 | MU177,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,GRAND PRIX 3.1L Y 3.8L 01-03 IMPALA 3.4 00-05,1566.06
130,13463C,BEMGM021,82207713463,E3537M,P74792M,6227-E,TU409,,,,,,,,,,,,,,,,, |  | MU232,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"GRAND PRIX 3.1L , 3.8L 98-00",1118.62
131,13936C,BEMGM022,82207713936,E3920M,P74714S,6203-E,TU403,,FG0028,,,,,,,,,,,,,,, | 67329 | MU1732,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"S10 BLAZER, S15 SONOMA 4.3L  1996(W,X)",1237.98
132,13939C,BEMGM023,82207713939,E3511M,P74914M,6222-E,TU437,,FG0108,,,,,,,,,,,,,,, |  | MU174,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"VAN EXPRESS 5.7L, 7.4L 98-00 (TANQUE 35 GAL)",1202.02
133,13943C,BEMGM024,82207713943,E3592M /MN,P76221M,6250-E,TU456,,FG0517,,,,,,,,,,,,,,, | 67520 | ,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"MALIBU 2.2L, 3.5L 04-06 MALIBU SS 3.9L 2006",2169.48
134,13937C,BEMGM025,82207713937,E3956M,"P74774M, P74776M",,TU424,,FG0093,,,,,,,,,,,,,,, |  | MU1753,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"PICK UP 5.7L , 7.4L 98-00, 8.1L 01-02",1239.48
135,13938C,BEMGM026,82207713938,E3500M,"P74835M, P76223M",6109-E,TU432,,"FG0053, FG0407",,,,,,,,,,,,,,," | 67305, 67450 | MU86",BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"PICK UP 4.3L 99-04, 4.8L,5.3L,6.0L,8.0L 99-03 CONECTOR CUADRADO",1062.68
136,13941C,BEMGM028,82207713941,E3707M,P76217M,,TU454,,FG0515,,,,,,,,,,,,,,, | 67508 | MU1396,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,TRAILBLAZER 4.2L 05-07 CAJA CORTA,1815.29
137,13942C,BEMGM029,82207713942,E3746M,P76218M,,TU455,,FG0516,,,,,,,,,,,,,,, |  | M10087,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,TRAILBLAZER 4.2L 05-06 CAJA LARGA,4779.4
138,11562C,BEMGM030,82207711562,E3737M,P76372M,6244-E,,,P25-B,,,,,,,,,,,,,,,93171075 | F000TE1055 | ,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"ASTRA, CHEVY, MONZA, CORSA 00-04 F00TE1055",560.58
139,BEMGM031C,20305,,E3507M,P74831M,6216-E,TU427,,FG0375,,,,,,,,,,,,,,, | 67451 | MU1253,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"CAVALIER,MALIBU 2.2L,2.4L,3.1L 00-05 SUNFIRE,GRAND AM 2.2.,2.4L,3.4L 00-05",1564.6
140,BEMGM034C,20315,,E3972M,P74770M,,,,FG0089,,,,,,,,,,,,,,, | 67368 | MU149,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"ESCALADE 5.7L 99-00; TAHOE,YUKON (USA),SONORA 5.7L 98-00; E3972M",1290.75
141,27398C,BEMGM035,,E3522M,P74932M,,,,FG0122,,,,,,,,,,,,,,, |  | MU197,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"SILVERADO 3500 6.0L, 8.1L 01-03 (COD TCJ)",1519.11
142,BEMGM036C,34375,,,,6245-E,,,,,,,,,,,,,,,,,,93320199 |  | ,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,CHEVY PICK UP 1.6L 01-03,1107.86
143,BEMGM037C,34670,,E3563M,P76440M,6219-E,TU449,,FG0123,,,,,,,,,,,,,,, | 67421 | MU1029,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"S-10, SONOMA 4.3L 02-03 ",1411.84
144,BEMGM039C,37315,,E3556M,P75023M,6241-E,,,FG0273,,,,,,,,,,,,,,, | 67458 | MU1088,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,AVALANCHE SUBURBAN YUKON XL 1500 5.3L 02-03  CALIDAD OEM,1271.16
145,BEMGM040C,37319,,E3954M,P74761M,EFP1604,"TU407, TU411",,FG0072,,,,,,,,,,,,,,," | 67408 | MU113, MU1063",BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,BLAZER JIMMY 4.3L 97-02                     ,1277.63
146,BEMGM041C,37317,,E3962M,P74768M,6624-E,TU423,,FG0085,,,,,,,,,,,,,,," |  | MU145, MU1752",BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,C2500 C3500 K2500 K3500 PICKUP5.7-7.4L 98-00,1016.92
147,BEMGM042C,37325,,,P90220,,,,,,,,,,,,,,,,,,,"93394746, 93310487 | 0580314346 | ",BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,CORSA 1.8L 02-09   ,1124.43
148,BEMGM043C,37326,,"E3609M, E3684M",P76241M,6248-E,,,"FG0340, FG0494",,,,,,,,,,,,,,," | 67447, 67449 | MU1417, MU1314",BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"SILVERADO 1500, SIERRA 5.3L 04-07 ",2050.79
149,BEMGM044C,37321,,E3560M,P74905M,,,,FG0811,,,,,,,,,,,,,,," | 67457 | MU1379, MU1050",BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,SUBURBAN 1500 YUKON XL 1500 5.3L 02-04      FLEX FUEL,1658.24
150,BEMGM045C,37316,,E3967M,P74773M,,,,FG0092,,,,,,,,,,,,,,," | 67382 | MU152, MU1748",BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,SUBURBANC1500-2500 K1500-2500 5.7-7.4L 98-99,1311.89
151,BEMGM046C,37318,,E3508M,P74832M,,,,FG0324,,,,,,,,,,,,,,," | 67307, 67399 | MU170, MU1518",BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,TAHOE YUKON 4.8-5.3L 00-03 ESCALADE 02-03   ,1387.53
152,BEMGM047C,37320,,E3559M,P74904M,,,,FG0810,,,,,,,,,,,,,,," | 67452 | MU1378, MU1222",BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,TAHOE YUKON 5.3L 02-04          FLEX FUEL            ,1732.05
153,38331C,BEMGM048,,,P90240,6242-E,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,CHEVY C2 1.6L MPFI 02-10,1269.44
154,38332C,BEMGM049,,E3549M,P75053M,6249-E,,,"FG0411, FG0387",,,,,,,,,,,,,,," | 67415, 67469 | MU1334",BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,GMC ENVOY TRAILBLAZER BRAVADA 02-04 4.2-5.3L,1074.12
155,38470C,BEMGM051,MU1415,"E3750M, E3752M","P76511M, P76286M",,,,,,,,,,,,,,,,,,,19206582 |  | ,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,GM SILVERADO SIERRA 1500 2500 V8 07-08 TANQUE 34 GAL.,2000.77
156,38637C,BEMGM053,,,,,,,,,,,,,,,,,,,,,,94740642 | 0580314395 | ,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"TORNADO,MERIVA 1.8L MPFI 04-08 TRES PATAS",1267
157,39113C,BEMGM054,,E3610M,P76272M,6239-E,,,FG0809,,,,,,,,,,,,,,," | 67401, 67517 | ",BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,SUBURBAN AVALANCHE YUKON ESCALADE 04-07,1859.69
158,39209C,BEMGM055,,,,,,,,,,,,,,,,,,,,,,94740642 | 0580314395 | ,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"TORNADO,MERIVA 1.8L MPFI 04-08  ORIGINAL TRES PATAS",2373.24
159,39211C,BEMGM056,,,,,,,,,,,,,,,,,,,,,,96298305 |  | ,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,PONTIAC MATIZ 1.0L 03-05,933.23
160,39212C,BEMGM057,,,,,,,,,,,,,,,,,,,,,,"96320232, 96464637 |  | ",BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,PONTIAC MATIZ 1.0L 05-10,846.65
161,39290C,BEMGM058,,E4005M,P76507M,,,,FG1057,,,,,,,,,,,,,,, | F00HK00420 | ,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,SILVERADO SIERRA 1500 2500 3500 V8 10-13,2996.17
162,40118C,BEMGM061,,E3748M,P76480M,6236-E,,,,,,,,,,,,,,,,,,"19167078, 19208568 | 69973 | MU10130",BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"ACADIA, TRAVERSE 3.6L 07-12",2055.45
163,39901C,BEMGM063,,E3621S,P80000S,6232-E,,,HP10000,,,,,,,,,,,,,,,"19111396,  |  | ",BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA," PICK UP C1500,2500,3500 K1550 5.7L 88-98",1323.47
164,40129C,BEMGM064,,E3616M,P76244M,,,,FG0353,,,,,,,,,,,,,,,"15078037009, 19133462 |  | M10010",BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"BOMBA MODULO SILVERADO,SIERRA 3500 6.0L 8.1L 04-07",2013.51
165,40208C,BEMGM067,,E3584M,P75019M,,,,FG0326,,,,,,,,,,,,,,, | 67428 | ,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"BOMBA MODULO EXPRESS,SABANA 2003 TODOS LOS MOTORES",2900.35
166,40392C,BEMGM068,,,,,,,,,,,,,,,,,,,,,,"95949345, 96447642",BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,"BOMBA MODULO AVEO 08-09 1.6L, OPTRA 06-10 2.0L",1159.59
167,40036C,BEMGM - - -,,E3509M,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,BOMBA ELECTRICA GMC SUBURBAN YUKON 5.3L 00-01,1401.2
168,40037C,BEMGM - - -,,E3678M,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,BOMBA ELECTRICA SERIES VAN 1500 04-08 2500 04-08 3500 04-08,1925.92
169,39311C,BEMHO001,,E8642M,P76531M,3002-E,,,FG0956,,,,,,,,,,,,,,,"17045S0XA32, 17045SOXA02 |  | ",BOMBA-MODULO,BOMBA DE GASOLINA,HONDA,INJETECH,CIOSA,ODDISEY 3.5L 99-04,1914.75
170,40117C,BEMHO002,,E8838M,P76378M,,,,FG1046,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,HONDA,INJETECH,CIOSA,BOMBA MODULO HONDA CIVIC 2.0L 06-10,1638.54
171,39715C,BEMMB001,,E8474M,P76499M,,,,FG1016,,,,,,,,,,,,,,,2034703594 | 67970 | ,BOMBA-MODULO,BOMBA DE GASOLINA,MERCEDES,INJETECH,CIOSA,C230 240 320 01-02 4-6CIL,1326.39
172,06733C,BEMNS001,17040-8B000,E8441S,P76550M,,,,,,,,,,,,,,,,,,,"170408B000 | F00E192314, 67995 | ",BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,PICK UP 2.4L D21 97-06,1242.85
173,27399C,BEMNS002,17042-00QAA,,P90420,5201-E,,,,,,,,,,,,,,,,,,"1704200QAA, 172022380R | 0986580312 | ",BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,"PLATINA 1.4L 02-06, RENAULT CLIO 1.2L, 1.4L 99-02 ",1037.84
174,BEMNS003C,37226,,E8595M,P76360M,,,,,,,,,,,,,,,,,,,"170407S20A, 170407S000 | 69871, 69905 | ",BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,INFINITI ARMADA TITAN V8 5.6L 04-06  ,1885.5
175,38334C,BEMNS004,17040-8U002,,P90430,,,,,,,,,,,,,,,,,,,170408U002 |  | ,BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,SENTRA 2.0L 01-06     ,1125.21
176,38395C,BEMNS005,,E8743M,P76358M,,TU311,,FG0886,,,,,,,,,,,,,,,"17040EA000, 17040ZP00A | F00E193758, 69907 | ",BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,FRONTIER PATHFINDER XTERRA V6 4CIL 05-11 ,2870.83
177,38636C,BEMNS006,,E8496M,P76171M,5202-E,,,FG0501,,,,,,,,,,,,,,,"170408J000, 170408J005 | 67988, 67989 | ",BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,ALTIMA  2.5-3.5L 02-03,1350.68
178,39262C,BEMNS007,,,,,,,,,,,,,,,,,,,,,,17040VZ00A |  | ,BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,URVAN 08-10 2.5L,1114.39
179,39313C,BEMNS008,,E8752M,P76492M,5204-E,,,,,,,,,,,,,,,,,,17040ET00A |  | ,BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,SENTRA 2.0L Y 2.5L 07-11,1299.58
180,40039C,BEMNS010,,E8502M,P76411M,,,,,,,,,,,,,,,,,,,"170408U000, 170408U003 | F00E192808, 69701 | ",BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,SENTRA 1.8L 03-06 SENTRA 2.5L 02-06,1495.21
181,40204C,BEMNS011,,E8855M,P76612M,5203-E,,,,,,,,,,,,,,,,,,"17040CH000, 8200704685 |  | 0974690990005, 0975611990001",BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,BOMBA MODULO APRIO 1.6L 08-09 TIDA 1.8L 07-11,1417.85
