ID,NPC,CODIGO,ORIGINAL,AIRTEX,CARTER,KEM,WALBRO,PFP,DELPHI,STD,WELLS,TOMCO,TRANSPO,WAI,BOSCH,UNIPOINT,VALEO,INTERFIL,NUMERO,PRESENTACION,TIPO,SUB TIPO,EMBALAJE,OE / OTRO,TIPO DECOMPONENTE,TIPO DE COMPONENTE GENERAL,MARCA,MARCA REFACCION,PROVEEDOR,DESCRIPCION,PRECIODE LISTA,PRECIO DE COMPRA,,,,A                    0%,B                    10%,C                   15%,D                    17.55%,E                    18.4%,F                    19.25%,G                    23.5%,PRECIO PROMOCION,PRECIO PROMOCION,CONDICION DE COMPRA
13,07138C,BEMCH014,82207707138,E7093M,P74710M,7003-E,TU114,,FG0212,,,,,,,,,,,,,,, | 67641%%% F00E190645 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,RAM1500%%% 2500%%% 3500 V6%%% V8%%% V10 96-97,1956.37,1604.2234,1411.716592,1270.544933,1270.544933,2541.089866,2286.980879,2159.926386,2095.128594,2073.52933,2051.930066,1943.933747,,,
14,07159C,BEMCH015,82207707159,E7152M,P74823M,7664-E,TU145,,FG0279,,,,,,,,,,,,,,, | F00E192193 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,CONCORDE%%% INTREPID%%% 300M%%% LHS V6 00-04,3306.12,2711.0184,2385.696192,2147.126573,2147.126573,4294.253146,3864.827831,3650.115174,3540.611719,3504.110567,3467.609415,3285.103656,,,
15,10264C,BEMCH016,82207710264,E7100M,P74698M,,,,FG0368,,,,,,,,,,,,,,, | 67647 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,B100%%% 150-350VAN%%% B1500-3500VAN 1996,2112.38,1732.1516,1524.293408,1371.864067,1371.864067,2743.728134,2469.355321,2332.168914,2262.203847,2238.882158,2215.560469,2098.952023,,,
16,11939C,BEMCH017,82207711939,E7099M,P74708M,,TU131,,FG0225,,,,,,,,,,,,,,, | 67646%%% F00E190655 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,GRAND CHEROKEE 4.0L L6%%% 5.2L V8 1996,1440.95,1181.579,1039.78952,935.810568,935.810568,1871.621136,1684.459022,1590.877966,1543.151627,1527.242847,1511.334067,1431.790169,,,
17,07134C,BEMCH018,82207707134,E7041M%%% E7040M,P74631H,E7670-E,TU102,,FG0196,,,,,,,,,,,,,,, | F00E190597 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,SPIRIT%%% LEBARON [TURBO]%%% DAYTON 2.2L 91-93,784.57,643.3474,566.145712,509.5311408,509.5311408,1019.062282,917.1560534,866.2029394,840.2168512,831.5548218,822.8927924,779.5826454,,,
18,08949C,BEMCH019,82207708949,,,,,,,,,,,,,,,,,,,,,3111002000 |  | 3111005000,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,ATOS BY DODGE 1.0L 00-04,883.66,724.6012,637.649056,573.8841504,573.8841504,1147.768301,1032.991471,975.6030557,946.334964,936.5789335,926.8229029,878.0427501,,,
19,07156C,BEMCH020,82207707156,E7123M,P74800E,7091-E,TU142,,FG0278,,,,,,,,,,,,,,, | F00E190681 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,RAM1500%%% 2500%%% 3500 VAN 98-03 (35 GAL),1689.24,1385.1768,1218.955584,1097.060026,1097.060026,2194.120051,1974.708046,1865.002044,1809.051982,1790.401962,1771.751941,1678.501839,,,
20,05038C,BEMCH021,2715CHBEC420,E7065M,P74673M,7086-E,TU120,,FG0219,,,,,,,,,,,,,,, | F00E190095 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,R1500%%% 2500%%% 3500 V6%%% V8%%% V10 94-95,1631.48,1337.8136,1177.275968,1059.548371,1059.548371,2119.096742,1907.187068,1801.232231,1747.195264,1729.182942,1711.170619,1621.109008,,,
21,07147C,BEMCH022,82207707147,E7047M,P74657M,,TU124,,FG0372,,,,,,,,,,,,,,, | F00E190601 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,D100-350%%% W100-350%%% RAMCHARGER 91-93; TU124,1287.88,1056.0616,929.334208,836.4007872,836.4007872,1672.801574,1505.521417,1421.881338,1379.224898,1365.006085,1350.787271,1279.693204,,,
22,07150C,BEMCH023,82207707150,E7104M,P74737M,7095-E,TU133,,FG0233,,,,,,,,,,,,,,,4897495AA /AB /AC |  | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,B1500%%% 3500 3.9L%%% 5.2L%%% 5.9L 1997,1984.4,1627.208,1431.94304,1288.748736,1288.748736,2577.497472,2319.747725,2190.872851,2125.146666,2103.237937,2081.329209,1971.785566,,,
23,07144C,BEMCH024,82207707144,E7048M,P74655M,,TU121,,FG0220,,,,,,,,,,,,,,, | F00E190615 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,RAM CHARGER 5.2L%%% 5.9L 91-93,1818.89,1491.4898,1312.511024,1181.259922,1181.259922,2362.519843,2126.267859,2008.141867,1947.897611,1927.816192,1907.734773,1807.32768,,,
24,07136C,BEMCH025,82207707136,E7086M,P74695M%%% P74682M,7086E,TU107,,FG0202,,,,,,,,,,,,,,, | 67636 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,RAM1500%%% 2500%%% 3500 V6%%% V8%%% V10 1995,1938,1589.16,1398.4608,1258.61472,1258.61472,2517.22944,2265.506496,2139.645024,2075.455673,2054.059223,2032.662773,1925.680522,,,
25,07155C,BEMCH026,82207707155,E7124M,P74740M,7090-E,TU141,,FG0239,,,,,,,,,,,,,,, | F00E193918 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,VAN V6%%%V8  98-02 (31 Y 32 GAL),1845.71,1513.4822,1331.864336,1198.677902,1198.677902,2397.355805,2157.620224,2037.752434,1976.619861,1956.242337,1935.864812,1833.977191,,,
26,07152C,BEMCH027,82207707152,E7116M,P74738M,7224-E,TU137,,FG0235,,,,,,,,,,,,,,, | F00E190673 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,DAKOTA 2.5L%%% 3.9L%%% 5.2L%%% 5.9L 97-02 (22 GAL),1968.98,1614.5636,1420.815968,1278.734371,1278.734371,2557.468742,2301.721868,2173.848431,2108.632978,2086.894494,2065.156009,1956.463588,,,
27,05041C,BEMCH028,2715CHBEC607,E7074H,P74501H,7274-EH%%% 222-E,,,,,,,,,,,,,,,,,, | 67630 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,VOYAGER (GRAND) 2.2L%%% 2.5L%%% 3.0L 87-90; P74501H,1073.8,880.516,774.85408,697.368672,697.368672,1394.737344,1255.26361,1185.526742,1149.96094,1138.105673,1126.250405,1066.974068,,,
28,07151C,BEMCH029,82207707151,E7114M,P74739M,7223-E,TU136,,FG0234,,,,,,,,,,,,,,, | F00E190669 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,DAKOTA 2.5L%%% 3.9L%%% 5.2L%%% 5.9L 97-99 (15 GAL),1757.82,1441.4124,1268.442912,1141.598621,1141.598621,2283.197242,2054.877517,1940.717655,1882.496126,1863.088949,1843.681773,1746.64589,,,
29,07148C,BEMCH030,82207707148,E7063M,P74658M,7263E,TU125,,FG0209,,,,,,,,,,,,,,, | F00E190093 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,B100-3500VAN%%% RAM1500-3500%%% VAN V6%%%V8 90-95,1662.08,1362.9056,1199.356928,1079.421235,1079.421235,2158.84247,1942.958223,1835.0161,1779.965617,1761.615456,1743.265295,1651.51449,,,
30,07145C,BEMCH031,82207707145,E7062M,P74675M,EFP-1702,TU122,,FG0224,,,,,,,,,,,,,,, | F00E190091 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,DAKOTA  3.9L%%%5.2L (C/M CARTER) 94-95,1741.9,1428.358,1256.95504,1131.259536,1131.259536,2262.519072,2036.267165,1923.141211,1865.446975,1846.215563,1826.984151,1730.82709,,,
31,07140C,BEMCH032,82207707140,E7095M,P74711M,EFP-1606,TU116,,FG0214,,,,,,,,,,,,,,, | F00E190649 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,DAKOTA 2.5L%%% 3.9L%%% 5.2L (22 GAL) 1996,1688,1384.16,1218.0608,1096.25472,1096.25472,2192.50944,1973.258496,1863.633024,1807.724033,1789.087703,1770.451373,1677.269722,,,
32,07146C,BEMCH033,82207707146,E7049M,P74653M,7653-E,TU123,,FG0221,,,,,,,,,,,,,,, | 67613%%% F00E190087 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,B100%%% 150 %%%200%%% 250%%% 300%%% 350 VAN V6%%%V8 91-93,1191.75,977.235,859.9668,773.97012,773.97012,1547.94024,1393.146216,1315.749204,1276.276728,1263.119236,1249.961744,1184.174284,,,
33,05037C,BEMCH034,2715CHBEC419,E7071H,P74502H,7852-E,,,,,,,,,,,,,,,,,, | 67627 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,MAGNUM%%% PHANTOM%%% SHADOW%%% LEBARON 84-90,1041.28,853.8496,751.387648,676.2488832,676.2488832,1352.497766,1217.24799,1149.623101,1115.134408,1103.638177,1092.141946,1034.660791,,,
34,07139C,BEMCH035,82207707139,E7096M,P74711M,,TU115,,FG0213,,,,,,,,,,,,,,, | F00E190651 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,DAKOTA 2.5L%%% 3.9L%%% 5.2L 1996 (15GAL),1747.38,1432.8516,1260.909408,1134.818467,1134.818467,2269.636934,2042.673241,1929.191394,1871.315652,1852.023738,1832.731825,1736.272255,,,
35,13920C,BEMCH036,82207713920,E7087M,P74697M,7671-E,TU130,,FG0377,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,GRAND CHEROKEE 4.0L%%%5.2L 1995,1510.76,1238.8232,1090.164416,981.1479744,981.1479744,1962.295949,1766.066354,1667.951556,1617.91301,1601.233494,1584.553979,1501.156401,,,
36,07135C,BEMCH037,82207707135,E7054M,P74662M,7662-E,TU105,,FG0200,,,,,,,,,,,,,,, | 67616 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,INTREPID%%% CONCORDE%%% NEW YORKER V6 93-95,1373.74,1126.4668,991.290784,892.1617056,892.1617056,1784.323411,1605.89107,1516.6749,1471.174653,1456.007904,1440.841155,1365.00741,,,
