ID,NPC,CODIGO,ORIGINAL,AIRTEX,CARTER,KEM,WALBRO,PFP,DELPHI,STD,WELLS,TOMCO,TRANSPO,WAI,BOSCH,UNIPOINT,VALEO,INTERFIL,NUMERO,PRESENTACION,TIPO,SUB TIPO,EMBALAJE,OE / OTRO,TIPO DECOMPONENTE,TIPO DE COMPONENTE GENERAL,MARCA,MARCA REFACCION,PROVEEDOR,DESCRIPCION,PRECIODE LISTA,PRECIO DE COMPRA,,,,A                    0%,B                    10%,C                   15%,D                    17.55%,E                    18.4%,F                    19.25%,G                    23.5%,PRECIO PROMOCION,PRECIO PROMOCION,CONDICION DE COMPRA
167,40036C,BEMGM - - -,,E3509M,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,BOMBA ELECTRICA GMC SUBURBAN YUKON 5.3L 00-01,1401.2,1148.984,1011.10592,909.995328,909.995328,1819.990656,1637.99159,1546.992058,1500.582296,1485.112375,1469.642455,1392.292852,,,
168,40037C,BEMGM - - -,,E3678M,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,BOMBA ELECTRICA SERIES VAN 1500 04-08 2500 04-08 3500 04-08,1925.92,1579.2544,1389.743872,1250.769485,1250.769485,2501.53897,2251.385073,2126.308124,2062.51888,2041.255799,2019.992718,1913.677312,,,
169,39311C,BEMHO001,,E8642M,P76531M,3002-E,,,FG0956,,,,,,,,,,,,,,,17045S0XA32%%% 17045SOXA02 |  | ,BOMBA-MODULO,BOMBA DE GASOLINA,HONDA,INJETECH,CIOSA,ODDISEY 3.5L 99-04,1914.75,1570.095,1381.6836,1243.51524,1243.51524,2487.03048,2238.327432,2113.975908,2050.556631,2029.416872,2008.277113,1902.578317,,,
170,40117C,BEMHO002,,E8838M,P76378M,,,,FG1046,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,HONDA,INJETECH,CIOSA,BOMBA MODULO HONDA CIVIC 2.0L 06-10,1638.54,1343.6028,1182.370464,1064.133418,1064.133418,2128.266835,1915.440152,1809.02681,1754.756006,1736.665738,1718.575469,1628.124129,,,
171,39715C,BEMMB001,,E8474M,P76499M,,,,FG1016,,,,,,,,,,,,,,,2034703594 | 67970 | ,BOMBA-MODULO,BOMBA DE GASOLINA,MERCEDES,INJETECH,CIOSA,C230 240 320 01-02 4-6CIL,1326.39,1087.6398,957.123024,861.4107216,861.4107216,1722.821443,1550.539299,1464.398227,1420.46628,1405.822298,1391.178315,1317.958404,,,
172,06733C,BEMNS001,17040-8B000,E8441S,P76550M,,,,,,,,,,,,,,,,,,,170408B000 | F00E192314%%% 67995 | ,BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,PICK UP 2.4L D21 97-06,1242.85,1019.137,896.84056,807.156504,807.156504,1614.313008,1452.881707,1372.166057,1331.001075,1317.279415,1303.557754,1234.949451,,,
173,27399C,BEMNS002,17042-00QAA,,P90420,5201-E,,,,,,,,,,,,,,,,,,1704200QAA%%% 172022380R | 0986580312 | ,BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,PLATINA 1.4L 02-06%%% RENAULT CLIO 1.2L%%% 1.4L 99-02 ,1037.84,851.0288,748.905344,674.0148096,674.0148096,1348.029619,1213.226657,1145.825176,1111.450421,1099.992169,1088.533918,1031.242659,,,
174,BEMNS003C,37226,,E8595M,P76360M,,,,,,,,,,,,,,,,,,,170407S20A%%% 170407S000 | 69871%%% 69905 | ,BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,INFINITI ARMADA TITAN V8 5.6L 04-06  ,1885.5,1546.11,1360.5768,1224.51912,1224.51912,2449.03824,2204.134416,2081.682504,2019.232029,1998.415204,1977.598379,1873.514254,,,
175,38334C,BEMNS004,17040-8U002,,P90430,,,,,,,,,,,,,,,,,,,170408U002 |  | ,BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,SENTRA 2.0L 01-06     ,1125.21,922.6722,811.951536,730.7563824,730.7563824,1461.512765,1315.361488,1242.28585,1205.017275,1192.594416,1180.171558,1118.057265,,,
176,38395C,BEMNS005,,E8743M,P76358M,,TU311,,FG0886,,,,,,,,,,,,,,,17040EA000%%% 17040ZP00A | F00E193758%%% 69907 | ,BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,FRONTIER PATHFINDER XTERRA V6 4CIL 05-11 ,2870.83,2354.0806,2071.590928,1864.431835,1864.431835,3728.86367,3355.977303,3169.53412,3074.448096,3042.752755,3011.057414,2852.580708,,,
177,38636C,BEMNS006,,E8496M,P76171M,5202-E,,,FG0501,,,,,,,,,,,,,,,170408J000%%% 170408J005 | 67988%%% 67989 | ,BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,ALTIMA  2.5-3.5L 02-03,1350.68,1107.5576,974.650688,877.1856192,877.1856192,1754.371238,1578.934115,1491.215553,1446.479086,1431.566931,1416.654775,1342.093997,,,
178,39262C,BEMNS007,,,,,,,,,,,,,,,,,,,,,,17040VZ00A |  | ,BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,URVAN 08-10 2.5L,1114.39,913.7998,804.143824,723.7294416,723.7294416,1447.458883,1302.712995,1230.340051,1193.429849,1181.126449,1168.823048,1107.306046,,,
179,39313C,BEMNS008,,E8752M,P76492M,5204-E,,,,,,,,,,,,,,,,,,17040ET00A |  | ,BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,SENTRA 2.0L Y 2.5L 07-11,1299.58,1065.6556,937.776928,843.9992352,843.9992352,1687.99847,1519.198623,1434.7987,1391.754739,1377.406752,1363.058765,1291.31883,,,
180,40039C,BEMNS010,,E8502M,P76411M,,,,,,,,,,,,,,,,,,,170408U000%%% 170408U003 | F00E192808%%% 69701 | ,BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,SENTRA 1.8L 03-06 SENTRA 2.5L 02-06,1495.21,1226.0722,1078.943536,971.0491824,971.0491824,1942.098365,1747.888528,1650.78361,1601.260102,1584.752266,1568.24443,1485.705249,,,
181,40204C,BEMNS011,,E8855M,P76612M,5203-E,,,,,,,,,,,,,,,,,,17040CH000%%% 8200704685 |  | 0974690990005%%% 0975611990001,BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,BOMBA MODULO APRIO 1.6L 08-09 TIDA 1.8L 07-11,1417.85,1162.637,1023.12056,920.808504,920.808504,1841.617008,1657.455307,1565.374457,1518.413223,1502.759479,1487.105734,1408.837011,,,
182,BEMPG001C,37322,,,,1202-E,,,,,,,,,,,,,,,,,,1525Y2 | 0986580310 | 519785129901%%% 228222016002C%%% 228222016005,BOMBA-MODULO,BOMBA DE GASOLINA,PEUGEOT,INJETECH,CIOSA,PEUGEOT 206                                     TAPA GRANDE,1006.75,825.535,726.4708,653.82372,653.82372,1307.64744,1176.882696,1111.500324,1078.155314,1067.040311,1055.925308,1000.350292,,,
183,38333C,BEMSA001,,E3905M,P74949M,,,,,,,,,,,,,,,,,,, | 67383%%% 67384 | ,BOMBA-MODULO,BOMBA DE GASOLINA,SATURN,INJETECH,CIOSA,SATURN 91-96 L4 1.9L     ,1245.73,1021.4986,898.918768,809.0268912,809.0268912,1618.053782,1456.248404,1375.345715,1334.085344,1320.331886,1306.578429,1237.811144,,,
184,39878C,BEMTO001,,E8874M,P76578M,,,,,,,,,,,,,,,,,,,77020-02181 |  | ,BOMBA-MODULO,BOMBA DE GASOLINA,TOYOTA,INJETECH,CIOSA,COROLLA%%% MATRIX 1.8L 05-08,1396.16,1144.8512,1007.469056,906.7221504,906.7221504,1813.444301,1632.099871,1541.427656,1495.184826,1479.770549,1464.356273,1387.28489,,,
185,39877C,BEMTO002,,E8757M,P76605M,,,,,,,,,,,,,,,,,,,77020-04061 |  | ,BOMBA-MODULO,BOMBA DE GASOLINA,TOYOTA,INJETECH,CIOSA,TACOMA 4.0L 05-11,1744.43,1430.4326,1258.780688,1132.902619,1132.902619,2265.805238,2039.224715,1925.934453,1868.156419,1848.897075,1829.63773,1733.341007,,,
186,40116C,BEMTO003,,E8805M,P76705M,,,,,,,,,,,,,,,,,,,77020-08040 |  | ,BOMBA-MODULO,BOMBA DE GASOLINA,TOYOTA,INJETECH,CIOSA,BOMBA MODULO TOYOTA SIENNA 07-10,1297.76,1064.1632,936.463616,842.8172544,842.8172544,1685.634509,1517.071058,1432.789332,1389.805653,1375.477759,1361.149866,1289.510399,,,
187,06738C,BEMVW001,2715VWBEC181,E8366M,P76266,9190-E,TU307,P22M,,,,,,,,,,,,,,,,1HM919051M | 67873 | E228225020004C,BOMBA-MODULO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,JETTA%%% GOLF A3 1.8L%%% 2.0L 93-99,818.64,671.2848,590.730624,531.6575616,531.6575616,1063.315123,956.9836109,903.8178547,876.7033191,867.6651405,858.626962,813.4360692,,,
188,06740C,BEMVW002,2715VWBEC433,E8366M,P76266,9055-E,TU307,P22M,,,,,,,,,,,,,,,,1HM919051M | 67873 | E228225020004C,BOMBA-MODULO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,JETTA%%% GOLF A3 1.8L%%% 2.0L 93-99 SOLO BOTE,610.15,500.323,440.28424,396.255816,396.255816,792.511632,713.2604688,673.6348872,653.4258406,646.6894917,639.9531428,606.2713985,,,
189,07866C,BEMVW003,82207707866,E8424M,P76030M,953-E%%% 9003-E,,P27M,FG0416,,,,,,,,,,,,,,,228233001003Z | F00E192350 | 1J0919087J/H,BOMBA-MODULO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,JETTA%%% GOLF A4 1.8L%%% 2.0L 99-08,933.91,765.8062,673.909456,606.5185104,606.5185104,1213.037021,1091.733319,1031.081468,1000.149024,989.838209,979.5273943,927.9733209,,,
190,07867C,BEMVW004,82207707867,,,,,,,,,,,,,,,,,,,,,6N0919051N%%% 6N0919087F |  | 228233015R%%% 6N0919051Q,BOMBA-MODULO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,DERBY 1.6L Y 1.8L  00-08 SEAT CORDOBA%%% IBIZA 01-04,941.37,771.9234,679.292592,611.3633328,611.3633328,1222.726666,1100.453999,1039.317666,1008.138136,997.7449591,987.3517825,935.3858992,,,
191,07868C,BEMVW005,82207707868,E10289M,P90010M,9191-E,,,,,,,,,,,,,,,,,,228999001R001 |  | ,BOMBA-MODULO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,GOLF%%% JETTA 1.8L MONOMOTRONIC INYECCION CENTRAL 93-97 SIN FLOTADOR,530.24,434.7968,382.621184,344.3590656,344.3590656,688.7181312,619.8463181,585.4104115,567.8480992,561.9939951,556.1398909,526.8693704,,,
192,07391C,BEMVW008,82207707391,,P90070,9592-E,,,,,,,,,,,,,,,,,,373919051S | F000TEO004 | ,BOMBA-MODULO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,POINTER VARIOS 1.8L Y 2.0L 98-04,1089.16,893.1112,785.937856,707.3440704,707.3440704,1414.688141,1273.219327,1202.48492,1166.410372,1154.385523,1142.360674,1082.236428,,,
193,09929C,BEMVW009,82207709929,E10289M,P90010M,9191-E,,,,,,,,,,,,,,,,,,228225021004C |  | ,BOMBA-MODULO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,GOLF%%% JETTA 1.8L MONOMOTRONIC INYECCION CENTRAL 93-97,789.03,647.0046,569.364048,512.4276432,512.4276432,1024.855286,922.3697578,871.1269934,844.9931836,836.2819137,827.5706438,784.0142941,,,
194,38638C,BEMVW012,,E8833M,P76493M,,,,,,,,,,,,,,,,,,,1K0919051BH | 69810 | ,BOMBA-MODULO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,BORA 2.0L 06-09JETTA GTI EOS  AUDI A3%%% TT 1.8L 06-09,1341.2,1099.784,967.80992,871.028928,871.028928,1742.057856,1567.85207,1480.749178,1436.326702,1421.51921,1406.711719,1332.67426,,,
195,39001C,BEMVW013,,E8831M%%% E8671M,P90040M,9004-E,,,,,,,,,,,,,,,,,,1K0919051AP%%% 1K0919051CK |  | A2C53107628%%% 228235070001Z%%% SP5094M,BOMBA-MODULO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,VW BORA 5CIL 2.5L MPFI 06-10,1286.67,1055.0694,928.461072,835.6149648,835.6149648,1671.22993,1504.106937,1420.54544,1377.929077,1363.723623,1349.518168,1278.490896,,,
196,39314C,BEMVW014,,,,,,,,,,,,,,,,,,,,,,5Z0919051P | 0580314326 | 5Z0919051D%%% 5Z0919051L,BOMBA-MODULO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,LUPO CROSSFOX1.6L 04-ADELANTE,1826.4,1497.648,1317.93024,1186.137216,1186.137216,2372.274432,2135.046989,2016.433267,1955.940269,1935.775937,1915.611604,1814.78994,,,
197,39412C,BEMGM059,,,,,,,,,,,,,,,,,,,,,,BEMGM059,BOMBA-MODULO,BOMBA DE GASOLINA,HYUNDAI,INJETECH,CIOSA,BOMBA ELECT COMBUST CHEVROLET SILVERADO 1500 2500 3500 09-10,2418.31,1983.0142,1745.052496,1570.547246,1570.547246,3141.094493,2826.985044,2669.930319,2589.832409,2563.133106,2536.433803,2402.937287,,,
198,40115C,,,E7220M,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,DODGE,INJETECH,CIOSA,BOMBA MODULO CALIBER 07-11 JEEP PATRIOT%%% COMPASS 07-12                                              ,1690.99,1386.6118,1220.218384,1098.196546,1098.196546,2196.393091,1976.753782,1866.934128,1810.926104,1792.256762,1773.587421,1680.240715,,,
199,40205C,,,E3747M,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA MODULO SILVERADO%%%SIERRA 1500 07-08 TODOS LOS MOTORES                                          ,2758.23,2261.7486,1990.338768,1791.304891,1791.304891,3582.609782,3224.348804,3045.218315,2953.861766,2923.409582,2892.957399,2740.696484,,,
200,40585C,BEMRN001,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,RENAULT,INJETECH,CIOSA,BOMBA MODULO RENAULT KANGOO 1.6L 04-14 2.0 08 L4 DOHC       ,1814.48,1487.8736,1309.328768,1178.395891,1178.395891,2356.791782,2121.112604,2003.273015,1943.174825,1923.142094,1903.109364,1802.945714,,,
201,40641C,,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,HONDA,INJETECH,CIOSA,BOMBA MODULO HONDA ACCORD 2.4L 03-07,2103.07,1724.5174,1517.575312,1365.817781,1365.817781,2731.635562,2458.472005,2321.890227,2252.233521,2229.014618,2205.795716,2089.701205,,,
202,40642C,,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,HONDA,INJETECH,CIOSA,BOMBA MODULO HONDA CRV 2.4L 05-06,2423.35,1987.147,1748.68936,1573.820424,1573.820424,3147.640848,2832.876763,2675.494721,2595.229879,2568.474932,2541.719985,2407.945249,,,
203,40643C,,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA MODULOFORD RANGER 2.3L%%% 2.9L%%% 3.0L 90-97                                                      ,1387.59,1137.8238,1001.284944,901.1564496,901.1564496,1802.312899,1622.081609,1531.965964,1486.006985,1470.687326,1455.367666,1378.769368,,,
204,40644C,BEMGM071,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA MODULO GM Astro%%% Safari 4.3L 00-05,1412.82,1158.5124,1019.490912,917.5418208,917.5418208,1835.083642,1651.575277,1559.821095,1513.026462,1497.428252,1481.830041,1403.838986,,,
205,40645C,BEMFD047,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA MODULO Ford Expedition%%% Navigator 5.4L 05-06,1506.69,1235.4858,1087.227504,978.5047536,978.5047536,1957.009507,1761.308556,1663.458081,1613.554339,1596.919758,1580.285177,1497.112273,,,
206,40646C,,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA MODULO PICK UP C1500-3500 K1500-K3500 4.3L%%% 5.0L%%% 5.7L,1261.45,1034.389,910.26232,819.236088,819.236088,1638.472176,1474.624958,1392.70135,1350.920309,1336.993296,1323.066282,1253.431215,,,
207,40647C,BEMFD048,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA MODULO Ford F250%%% F350%%% F450 SuperDuty 5.4L%%% 6.8L 08-10,1633.77,1339.6914,1178.928432,1061.035589,1061.035589,2122.071178,1909.86406,1803.760501,1749.647686,1731.610081,1713.572476,1623.384451,,,
208,40648C,BEMGM073,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA MODULO GM Colorado 3.5L 04-05,1538.95,1261.939,1110.50632,999.455688,999.455688,1998.911376,1799.020238,1699.07467,1648.10243,1631.111683,1614.120936,1529.167203,,,
209,40649C,BEMGM074,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA MODULO GM Venture Corta 3.4L 01-04,1398.26,1146.5732,1008.984416,908.0859744,908.0859744,1816.171949,1634.554754,1543.746156,1497.433772,1481.99631,1466.558849,1389.371541,,,
210,40651C,,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA MODULO FORD ESCAPE 2.3%%% 3.0L 05-07,1966.89,1612.8498,1419.307824,1277.377042,1277.377042,2554.754083,2299.278675,2171.540971,2106.394742,2084.679332,2062.963922,1954.386874,,,
211,40652C,,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA MODULO FORD PICKUP F250%%% F350 SUPERDUTY 5.4L%%% 6.8L 99-                                        ,1528.34,1253.2388,1102.850144,992.5651296,992.5651296,1985.130259,1786.617233,1687.36072,1636.739899,1619.866292,1602.992684,1518.624648,,,
212,40653C,,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,SEAT,INJETECH,CIOSA,BOMBA MODULO SEAT IBIZA 1.6L%%% 1.8L TURBO%%% 2.0L 02-09                                                ,940.13,770.9066,678.397808,610.5580272,610.5580272,1221.116054,1099.004449,1037.948646,1006.810187,996.4307004,986.0512139,934.1537816,,,
213,40654C,,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,TOYOTA,INJETECH,CIOSA,BOMBA MODULO TOYOTA HIACE 2.7L 06-11                                                                ,1350.32,1107.2624,974.390912,876.9518208,876.9518208,1753.903642,1578.513277,1490.818095,1446.093552,1431.185372,1416.277191,1341.736286,,,
214,40655C,,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,HONDA,INJETECH,CIOSA,BOMBA MODULO HONDA CIVIC 1.3L 03-05%%% 1.7L 04-05,1857.63,1523.2566,1340.465808,1206.419227,1206.419227,2412.838454,2171.554609,2050.912686,1989.385306,1968.876179,1948.367052,1845.821418,,,
215,40656C,,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA MODULO GM EXPRESS. SAVANA 4.3L 2004                                                           ,1868.96,1532.5472,1348.641536,1213.777382,1213.777382,2427.554765,2184.799288,2063.42155,2001.518904,1980.884688,1960.250473,1857.079395,,,
216,40657C,,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,HONDA,INJETECH,CIOSA,BOMBA MODULO HONDA ODDYSEY 3.5L 01-05                                                               ,2622.36,2150.3352,1892.294976,1703.065478,1703.065478,3406.130957,3065.517861,2895.211313,2808.354974,2779.402861,2750.450748,2605.690182,,,
217,40658C,BEMGM076,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLTET,INJETECH,CIOSA,BOMBA MODULO CHEVROLET CRUZE 11-12                                                                  ,2269.31,1860.8342,1637.534096,1473.780686,1473.780686,2947.561373,2652.805236,2505.427167,2430.264352,2405.21008,2380.155809,2254.88445,,,
218,40721C,BEMFD051,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA MODULO FOCUS 2.0L 12-14,2204.48,1807.6736,1590.752768,1431.677491,1431.677491,2863.354982,2577.019484,2433.851735,2360.836183,2336.497666,2312.159148,2190.466562,,,
219,40722C,BEMGM077,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA MODULO EXPRESS%%% SAVANA 4.3L%%% 4.8L%%% 6.0L 10-14,3008.4,2466.888,2170.86144,1953.775296,1953.775296,3907.550592,3516.795533,3321.418003,3221.775463,3188.561283,3155.347103,2989.276203,,,
220,40755C,,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA/FILTRO GM CRUZE 10-14%%% CAPTIVA 2.4L%%% 3.6L 08-14%%% MALIB                                        ,971.2,796.384,700.81792,630.736128,630.736128,1261.472256,1135.32503,1072.251418,1040.083875,1029.361361,1018.638847,965.0262758,,,
221,40756C,,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA GM AVALANCHE%%% SUBURBAN 5.3L 05-07,2182.81,1789.9042,1575.115696,1417.604126,1417.604126,2835.208253,2551.687428,2409.927015,2337.629204,2313.529934,2289.430664,2168.934313,,,
222,40757C,,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,DODGE,INJETECH,CIOSA,BOMBA DODGE DAKOTA 3.7L 10-11%%% 4.7L 07-11,4006.34,3285.1988,2890.974944,2601.87745,2601.87745,5203.754899,4683.379409,4423.191664,4290.495914,4246.263998,4202.032081,3980.872498,,,
223,40758C,,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,DODGE,INJETECH,CIOSA,BOMBA DODGE JOURNEY 2.4L%%% 3.5L 09-10 FWD,3389.36,2779.2752,2445.762176,2201.185958,2201.185958,4402.371917,3962.134725,3742.016129,3629.755645,3592.335484,3554.915323,3367.814516,,,
224,40759C,,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,DODGE,INJETECH,CIOSA,BOMBA DODGE RAM 4000 5.7L 13-14                                                                     ,3234.64,2652.4048,2334.116224,2100.704602,2100.704602,4201.409203,3781.268283,3571.197823,3464.061888,3428.34991,3392.637932,3214.07804,,,
225,41041C,,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA FORD RANGER%%% MAZDA B 2.3L%%% 3.0L%%% 4.0L 04-06           ,2548.54,2089.8028,1839.026464,1655.123818,1655.123818,3310.247635,2979.222872,2813.71049,2729.299175,2701.16207,2673.024965,2532.339441,,,
226,41042C,,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA FORD SERIES F SD 05-07                                ,2399.61,1967.6802,1731.558576,1558.402718,1558.402718,3116.805437,2805.124893,2649.284621,2569.806083,2543.313236,2516.82039,2384.356159,,,
227,41045C,,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,PEUGEOT,INJETECH,CIOSA,BOMBA PEUGEOT 206%%% 206CC%%% PARTNER 1.6L 00-08                ,1030.35,844.887,743.50056,669.150504,669.150504,1338.301008,1204.470907,1137.555857,1103.429181,1092.053623,1080.678064,1023.800271,,,
228,41046C,,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,BOMBA QUEST%%% MAXIMA%%% ALTIMA 04-09                           ,2005.88,1644.8216,1447.443008,1302.698707,1302.698707,2605.397414,2344.857673,2214.587802,2148.150168,2126.00429,2103.858412,1993.129022,,,
229,41049C,,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA GM AVALANCHE%%% SUBURBAN%%% YUKON ESCALADE 5.3L           ,2192.25,1797.645,1581.9276,1423.73484,1423.73484,2847.46968,2562.722712,2420.349228,2347.738751,2323.535259,2299.331767,2178.314305,,,
230,41050C,,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBAS DE GASOLINA,2192.25,1797.645,1581.9276,1423.73484,1423.73484,2847.46968,2562.722712,2420.349228,2347.738751,2323.535259,2299.331767,2178.314305,,,
231,41305C,,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA FORD E150%%% E250%%% E350 ECONOLINE 4.9L%%% 5.8L 9          ,1677.92,1375.8944,1210.787072,1089.708365,1089.708365,2179.41673,1961.475057,1852.50422,1796.929094,1778.404051,1759.879009,1667.253798,,,
232,41306C,,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA FORD EXPEDITION 4.6L 03-04                            ,1726.39,1415.6398,1245.763024,1121.186722,1121.186722,2242.373443,2018.136099,1906.017427,1848.836904,1829.77673,1810.716555,1715.415684,,,
233,41307C,,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA FORD EXPLORER 4.0L 06-09                              ,1548.08,1269.4256,1117.094528,1005.385075,1005.385075,2010.77015,1809.693135,1709.154628,1657.879989,1640.788443,1623.696896,1538.239165,,,
234,41309C,,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA GM COLORADO 3.7L 07-08                                ,2301.86,1887.5252,1661.022176,1494.919958,1494.919958,2989.839917,2690.855925,2541.363929,2465.123011,2439.709372,2414.295733,2287.227536,,,
235,41310C,,,,,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA GM S10 Y SONOMA 2.2L 00-02                            ,1534.55,1258.331,1107.33128,996.598152,996.598152,1993.196304,1793.876674,1694.216858,1643.390353,1626.448184,1609.506015,1524.795173,,,
